feature,importance
lip_corner_distance,0.046123876834487515
smile_intensity,0.04552403495843877
right_eye_ear,0.044615088389192877
left_eye_ear,0.03933866386929004
jaw_drop,0.035932321005323314
mouth_aspect_ratio,0.0343009610105317
left_eyebrow_slope,0.03251602401388661
mouth_movement,0.031874082354102745
mouth_eye_ratio,0.03150163917172829
right_eyebrow_slope,0.030900574152931022
mouth_curvature,0.03035635728420459
brow_eye_dist_right,0.030091471144593016
pose_roll,0.029137084284993033
pose_pitch,0.027236039689433555
brow_eye_dist_left,0.026277531700576656
face_wh_ratio,0.026108761738525187
cheek_asymmetry,0.02587173225510327
right_cheek_position,0.025191970133232964
nose_to_mouth,0.025015260022096895
left_eye_movement,0.024949925380925685
pose_yaw,0.024705116632309915
right_eye_movement,0.024448520830701672
mouth_corner_slope,0.023870796959474395
jaw_angle_deg,0.023486318196192055
nostril_flare,0.023062131523081193
left_cheek_position,0.022623318799575083
nose_tip_movement,0.02137188715473329
interocular_norm,0.021303441270674097
eyebrow_asymmetry,0.021243487310194497
left_eyebrow_movement,0.020303569106436735
right_eyebrow_movement,0.019732086077908436
brow_eye_asymmetry,0.019515203216846768
eye_asymmetry,0.01925117426615554
nose_to_chin_norm,0.018963102289351455
face_height_norm,0.01839909061997329
face_width_norm,0.017477572236332544
jaw_width,0.0173797841164614
